,Age,Klaipeda
0,0,2331
1,1,2453
2,2,2431
3,3,2474
4,4,2533
5,5,2388
6,6,2362
7,7,2395
8,8,2354
9,9,2515
10,10,2496
11,11,2250
12,12,2091
13,13,1998
14,14,1891
15,15,1825
16,16,1779
17,17,1707
18,18,1765
19,19,1924
20,20,2028
21,21,1977
22,22,1939
23,23,2035
24,24,2187
25,25,2231
26,26,2582
27,27,2880
28,28,3167
29,29,3206
30,30,3108
31,31,2995
32,32,3130
33,33,3199
34,34,3191
35,35,3153
36,36,3276
37,37,2943
38,38,2813
39,39,2832
40,40,2820
41,41,2843
42,42,2841
43,43,2842
44,44,2772
45,45,2808
46,46,2798
47,47,2846
48,48,2948
49,49,2883
50,50,2848
51,51,2649
52,52,2772
53,53,2794
54,54,2715
55,55,2918
56,56,2922
57,57,3151
58,58,3219
59,59,3209
60,60,3160
61,61,3088
62,62,3008
63,63,2628
64,64,2524
65,65,2418
66,66,2233
67,67,2272
68,68,2126
69,69,2083
70,70,2183
71,71,1841
72,72,1693
73,73,1506
74,74,1446
75,75,1250
76,76,1325
77,77,1511
78,78,1561
79,79,1491
80,80,1577
81,81,1433
82,82,1436
83,83,1225
84,84,1058
85,85,788
86,86,788
87,87,788
88,88,788
89,89,788
90,90,788
