,#time,date,susceptible,exposed,infectious,recovered,dead,immune,num infections today,num hospitalisations today,hospital bed occupancy,num hospitalisations today (data),cum num hospitalisations today,cum num infections today
0,1,2/3/2020,332366,20667,8130,1941,1,0,7530,15,26,0.0,15,7530
1,2,3/3/2020,322485,26652,11227,2740,1,0,9881,11,36,0.0,26,17411
2,3,4/3/2020,310526,33359,15391,3828,1,0,11961,18,53,0.0,44,29372
3,4,5/3/2020,296995,40188,20496,5425,1,0,13532,15,66,0.0,59,42904
4,5,6/3/2020,282048,46867,26468,7719,3,0,14948,34,96,0.0,93,57852
5,6,7/3/2020,266695,52281,33419,10706,4,0,15354,38,130,0.0,131,73206
6,7,8/3/2020,250397,56960,41074,14669,5,0,16302,59,185,0.0,190,89508
7,8,9/3/2020,233184,61285,48855,19774,7,0,17213,69,245,0.0,259,106721
8,9,10/3/2020,215645,64724,56465,26260,11,0,17541,106,336,0.0,365,124262
9,10,11/3/2020,198745,66529,63908,33906,17,0,16902,134,453,0.0,499,141164
10,11,12/3/2020,182794,66485,70857,42948,21,0,15958,177,611,0.0,676,157122
11,12,13/3/2020,170336,62490,76977,53274,28,0,12461,230,811,0.0,906,169583
12,13,14/3/2020,158636,57895,81477,65060,37,0,11708,283,1051,0.0,1189,181291
13,14,15/3/2020,147427,53440,84073,78109,56,0,11212,341,1331,0.0,1530,192503
14,15,16/3/2020,136891,49390,84990,91756,78,0,10542,450,1701,0.0,1980,203045
15,16,17/3/2020,129903,43014,83902,106188,98,0,6991,469,2078,0.0,2449,210036
16,17,18/3/2020,123343,37458,81310,120864,130,0,6562,556,2499,0.0,3005,216598
17,18,19/3/2020,117309,32744,77300,135583,169,0,6034,601,2932,0.0,3606,222632
18,19,20/3/2020,111711,28913,72281,149974,226,0,5599,691,3421,0.0,4297,228231
19,20,21/3/2020,109256,22953,67052,163555,289,0,2457,772,3957,0.0,5069,230688
20,21,22/3/2020,107057,18300,60900,176484,364,0,2199,893,4535,0.0,5962,232887
21,22,23/3/2020,104836,14719,54953,188129,468,0,2222,806,4976,0.0,6768,235109
22,23,24/3/2020,104166,10652,48942,198762,583,0,671,821,5371,0.0,7589,235780
23,24,25/3/2020,103490,7646,42915,208343,711,0,676,840,5721,0.0,8429,236456
24,25,26/3/2020,102839,5579,36968,216857,862,0,651,751,5907,0.0,9180,237107
25,26,27/3/2020,102172,4202,31571,224146,1014,0,667,713,6044,0.0,9893,237774
26,27,28/3/2020,101549,3430,26368,230551,1207,0,623,702,6081,0.0,10595,238397
27,28,29/3/2020,100898,2984,22053,235752,1418,0,651,632,6009,0.0,11227,239048
28,29,30/3/2020,100337,2685,18367,240062,1654,0,561,588,5834,0.0,11815,239609
29,30,31/3/2020,99814,2458,15464,243492,1877,0,523,473,5523,0.0,12288,240132
30,31,1/4/2020,99448,2186,13059,246315,2097,0,366,425,5176,0.0,12713,240498
31,32,2/4/2020,99028,2022,11148,248562,2345,0,420,335,4736,0.0,13048,240918
32,33,3/4/2020,98688,1789,9724,250344,2560,0,340,298,4327,0.0,13346,241258
33,34,4/4/2020,98353,1643,8435,251879,2795,0,335,250,3877,0.0,13596,241593
34,35,5/4/2020,98084,1490,7283,253245,3003,0,269,194,3435,0.0,13790,241862
35,36,6/4/2020,97843,1293,6416,254360,3193,0,241,159,3016,0.0,13949,242103
36,37,7/4/2020,97652,1124,5580,255390,3359,0,191,164,2612,0.0,14113,242294
37,38,8/4/2020,97464,976,4880,256263,3522,0,188,129,2254,0.0,14242,242482
38,39,9/4/2020,97308,843,4253,257022,3679,0,156,97,1894,0.0,14339,242638
39,40,10/4/2020,97187,731,3667,257715,3805,0,121,83,1610,0.0,14422,242759
40,41,11/4/2020,97107,607,3172,258310,3909,0,80,66,1356,0.0,14488,242839
41,42,12/4/2020,96996,528,2758,258821,4002,0,111,58,1152,0.0,14546,242950
42,43,13/4/2020,96902,468,2360,259287,4088,0,94,51,962,0.0,14597,243044
43,44,14/4/2020,96828,411,2032,259666,4168,0,74,43,805,0.0,14640,243118
44,45,15/4/2020,96775,349,1709,260051,4221,0,53,39,673,0.0,14679,243171
45,46,16/4/2020,96725,294,1464,260350,4272,0,50,31,557,0.0,14710,243221
46,47,17/4/2020,96681,253,1274,260589,4308,0,44,32,480,0.0,14742,243265
47,48,18/4/2020,96648,213,1082,260817,4345,0,33,36,423,0.0,14778,243298
48,49,19/4/2020,96613,183,904,261023,4382,0,35,24,350,0.0,14802,243333
49,50,20/4/2020,96593,149,773,261178,4412,0,20,15,297,0.0,14817,243353
50,51,21/4/2020,96581,115,677,261296,4436,0,12,19,264,0.0,14836,243365
51,52,22/4/2020,96559,101,575,261420,4450,0,22,12,229,0.0,14848,243387
52,53,23/4/2020,96546,81,500,261510,4468,0,14,11,206,0.0,14859,243401
53,54,24/4/2020,96534,69,419,261600,4483,0,12,13,184,0.0,14872,243413
54,55,25/4/2020,96523,65,335,261681,4501,0,11,5,147,0.0,14877,243424
55,56,26/4/2020,96513,56,289,261731,4516,0,10,3,124,0.0,14880,243434
56,57,27/4/2020,96506,46,230,261790,4533,0,7,2,93,0.0,14882,243441
57,58,28/4/2020,96504,32,206,261823,4540,0,2,3,78,0.0,14885,243443
