,#time,date,susceptible,exposed,infectious,recovered,dead,immune,num infections today,num hospitalisations today,hospital bed occupancy,num hospitalisations today (data),cum num hospitalisations today,cum num infections today
0,1,2/3/2020,321848,26263,11420,2588,2,0,8715,10,28,0.0,10,8715
1,2,3/3/2020,312060,30818,15524,3716,3,0,9789,18,45,0.0,28,18504
2,3,4/3/2020,301885,34576,20315,5342,3,0,10176,24,68,0.0,52,28680
3,4,5/3/2020,291554,37377,25645,7541,4,0,10331,28,93,0.0,80,39011
4,5,6/3/2020,280391,40006,31121,10597,6,0,11163,31,118,0.0,111,50174
5,6,7/3/2020,268244,42709,36738,14424,6,0,12147,64,178,0.0,175,62321
6,7,8/3/2020,254685,46496,41599,19335,6,0,13564,79,256,0.0,254,75885
7,8,9/3/2020,240252,50288,46339,25229,13,0,14434,98,337,0.0,352,90319
8,9,10/3/2020,224958,53783,51198,32169,13,0,15296,133,454,0.0,485,105615
9,10,11/3/2020,209752,56489,55910,39947,23,0,15209,145,575,0.0,630,120824
10,11,12/3/2020,194887,58047,60690,48469,28,0,14866,217,761,0.0,847,135690
11,12,13/3/2020,182808,56231,65179,57860,43,0,12086,256,977,0.0,1103,147776
12,13,14/3/2020,171054,53849,69176,67982,60,0,11758,279,1205,0.0,1382,159534
13,14,15/3/2020,159875,51100,72097,78974,75,0,11185,367,1509,0.0,1749,170719
14,15,16/3/2020,149192,48093,74228,90503,105,0,10684,390,1798,0.0,2139,181403
15,16,17/3/2020,142125,42494,74533,102842,127,0,7070,459,2143,0.0,2598,188473
16,17,18/3/2020,135211,37636,73672,115435,167,0,6916,467,2467,0.0,3065,195389
17,18,19/3/2020,128790,33489,71446,128184,212,0,6421,552,2857,0.0,3617,201810
18,19,20/3/2020,122731,29929,68213,140975,273,0,6062,593,3219,0.0,4210,207872
19,20,21/3/2020,120064,24166,63969,153581,341,0,2668,627,3582,0.0,4837,210540
20,21,22/3/2020,117620,19299,59105,165685,412,0,2444,678,3974,0.0,5515,212984
21,22,23/3/2020,115237,15599,53946,176824,515,0,2383,669,4276,0.0,6184,215367
22,23,24/3/2020,114586,11287,48490,187138,620,0,651,697,4587,0.0,6881,216018
23,24,25/3/2020,113935,8088,42854,196488,756,0,651,756,4883,0.0,7637,216669
24,25,26/3/2020,113291,5750,37168,205027,885,0,644,755,5143,0.0,8392,217313
25,26,27/3/2020,112634,4299,31737,212433,1018,0,658,672,5297,0.0,9064,217971
26,27,28/3/2020,111976,3513,26742,218723,1167,0,658,668,5394,0.0,9732,218629
27,28,29/3/2020,111373,3014,22353,224041,1340,0,603,613,5422,0.0,10345,219232
28,29,30/3/2020,110795,2668,18644,228500,1514,0,578,520,5270,0.0,10865,219810
29,30,31/3/2020,110260,2497,15501,232161,1702,0,535,500,5084,0.0,11365,220345
30,31,1/4/2020,109874,2225,13070,235054,1898,0,386,444,4868,0.0,11809,220731
31,32,2/4/2020,109479,1981,11164,237399,2098,0,395,379,4574,0.0,12188,221126
32,33,3/4/2020,109077,1817,9614,239290,2323,0,402,316,4205,0.0,12504,221528
33,34,4/4/2020,108757,1621,8348,240884,2511,0,320,285,3848,0.0,12789,221848
34,35,5/4/2020,108422,1530,7311,242173,2685,0,337,224,3463,0.0,13013,222185
