,Unnamed: 0,#time,date,susceptible,exposed,infectious,recovered,dead,immune,num infections today,num hospitalisations today,hospital bed occupancy,num hospitalisations today (data),cum num hospitalisations today,cum num infections today
0,0,1,2/3/2020,318278,30583,11225,2389,0,0,11190,9,32,0,9,11190
1,1,2,3/3/2020,304401,38702,15919,3453,0,0,13878,7,39,0,16,25068
2,2,3,4/3/2020,288683,46797,21984,5011,0,0,15722,15,52,0,31,40790
3,3,4,5/3/2020,272587,53388,29305,7194,1,0,16098,24,75,0,55,56888
4,4,5,6/3/2020,257501,57075,37514,10384,1,0,15088,32,100,0,87,71976
5,5,6,7/3/2020,243358,58215,46293,14607,2,0,14144,56,152,0,143,86120
6,6,7,8/3/2020,229550,58042,54641,20238,4,0,13811,79,226,0,222,99931
7,7,8,9/3/2020,215271,57913,61786,27498,7,0,14281,114,328,0,336,114212
8,8,9,10/3/2020,200702,58014,67611,36136,12,0,14574,154,467,0,490,128786
9,9,10,11/3/2020,186471,57780,71883,46323,18,0,14232,223,668,0,713,143018
10,10,11,12/3/2020,172673,57064,74776,57939,23,0,13806,239,880,0,952,156824
11,11,12,13/3/2020,161309,54223,76694,70216,33,0,11371,317,1158,0,1269,168195
12,12,13,14/3/2020,150460,51092,77764,83111,48,0,10852,392,1491,0,1661,179047
13,13,14,15/3/2020,140135,47977,78009,96295,59,0,10330,461,1868,0,2122,189377
14,14,15,16/3/2020,130504,44752,77241,109896,82,0,9632,533,2299,0,2655,199009
15,15,16,17/3/2020,124073,39164,75805,123313,120,0,6432,574,2738,0,3229,205441
16,16,17,18/3/2020,118059,34290,73184,136782,160,0,6016,689,3264,0,3918,211457
17,17,18,19/3/2020,112520,29873,70065,149801,216,0,5543,716,3772,0,4634,217000
18,18,19,20/3/2020,107293,26303,66100,162490,289,0,5228,773,4254,0,5407,222228
19,19,20,21/3/2020,104986,21234,61218,174676,361,0,2308,742,4663,0,6149,224536
20,20,21,22/3/2020,102932,16862,56380,185842,459,0,2054,781,5071,0,6930,226590
21,21,22,23/3/2020,100855,13529,51158,196335,598,0,2078,811,5390,0,7741,228668
22,22,23,24/3/2020,100208,10003,45379,206156,729,0,648,745,5646,0,8486,229316
23,23,24,25/3/2020,99533,7316,39831,214902,893,0,675,747,5812,0,9233,229991
24,24,25,26/3/2020,98886,5391,34245,222872,1081,0,648,691,5851,0,9924,230639
25,25,26,27/3/2020,98274,4105,29161,229665,1270,0,614,639,5774,0,10563,231253
26,26,27,28/3/2020,97683,3239,24635,235483,1435,0,591,595,5693,0,11158,231844
27,27,28,29/3/2020,97122,2756,20523,240432,1642,0,561,588,5581,0,11746,232405
28,28,29,30/3/2020,96635,2441,17044,244463,1892,0,487,508,5325,0,12254,232892
29,29,30,31/3/2020,96175,2219,14305,247681,2095,0,460,464,5077,0,12718,233352
30,30,31,1/4/2020,95845,1940,12087,250282,2321,0,331,424,4762,0,13142,233683
31,31,32,2/4/2020,95487,1762,10233,252425,2568,0,358,359,4411,0,13501,234041
