,#time,date,susceptible,exposed,infectious,recovered,dead,immune,num infections today,num hospitalisations today,hospital bed occupancy,num hospitalisations today (data),cum num hospitalisations today,cum num infections today
0,1,2/3/2020,323360,26616,10606,2343,2,0,9485,5,29,0.0,5,9485
1,2,3/3/2020,311871,32896,14708,3448,4,0,11489,9,36,0.0,14,20974
2,3,4/3/2020,299014,39255,19704,4950,4,0,12857,7,43,0.0,21,33831
3,4,5/3/2020,285323,44872,25799,6928,5,0,13692,22,64,0.0,43,47523
4,5,6/3/2020,271355,49166,32629,9770,7,0,13970,38,96,0.0,81,61493
5,6,7/3/2020,257512,52028,39803,13575,9,0,13843,55,147,0.0,136,75336
6,7,8/3/2020,243209,54430,46671,18606,11,0,14305,76,217,0.0,212,89641
7,8,9/3/2020,228668,55898,53530,24815,16,0,14544,84,288,0.0,296,104185
8,9,10/3/2020,213608,57374,59569,32358,18,0,15063,119,391,0.0,415,119248
9,10,11/3/2020,198400,58655,64693,41158,21,0,15210,170,547,0.0,585,134458
10,11,12/3/2020,183622,59062,69023,51193,27,0,14780,191,716,0.0,776,149238
11,12,13/3/2020,171689,56500,72399,62307,32,0,11939,228,912,0.0,1004,161177
12,13,14/3/2020,160257,53371,75365,73891,43,0,11438,317,1175,0.0,1321,172615
13,14,15/3/2020,149376,50310,76865,86318,58,0,10885,393,1505,0.0,1714,183500
14,15,16/3/2020,139141,47149,77395,99167,75,0,10238,453,1880,0.0,2167,193738
15,16,17/3/2020,132455,41249,76724,112402,97,0,6689,507,2281,0.0,2674,200427
16,17,18/3/2020,126156,36084,74705,125850,132,0,6303,577,2696,0.0,3251,206730
17,18,19/3/2020,120243,31752,71678,139082,172,0,5915,641,3175,0.0,3892,212645
18,19,20/3/2020,114670,28236,67678,152104,239,0,5576,705,3667,0.0,4597,218221
19,20,21/3/2020,112132,22759,63263,164465,308,0,2539,740,4114,0.0,5337,220760
20,21,22/3/2020,109834,18159,58170,176373,391,0,2298,732,4512,0.0,6069,223058
21,22,23/3/2020,107587,14713,52905,187225,497,0,2247,763,4909,0.0,6832,225305
22,23,24/3/2020,106922,10731,47248,197413,613,0,665,826,5256,0.0,7658,225970
23,24,25/3/2020,106250,7619,41883,206410,765,0,672,762,5517,0.0,8420,226642
24,25,26/3/2020,105569,5581,36180,214643,954,0,681,732,5621,0.0,9152,227323
25,26,27/3/2020,104979,4211,30764,221830,1143,0,590,675,5675,0.0,9827,227913
26,27,28/3/2020,104397,3379,26016,227826,1309,0,582,700,5760,0.0,10527,228495
27,28,29/3/2020,103785,2912,21652,233066,1512,0,612,582,5656,0.0,11109,229107
28,29,30/3/2020,103220,2591,17950,237458,1708,0,565,522,5464,0.0,11631,229672
29,30,31/3/2020,102712,2363,14993,240931,1928,0,509,471,5171,0.0,12102,230181
30,31,1/4/2020,102329,2104,12698,243642,2154,0,383,466,4910,0.0,12568,230564
31,32,2/4/2020,101928,1946,10771,245909,2373,0,402,343,4549,0.0,12911,230966
32,33,3/4/2020,101542,1809,9301,247696,2579,0,386,322,4198,0.0,13233,231352
33,34,4/4/2020,101215,1650,8144,249141,2777,0,327,283,3853,0.0,13516,231679
34,35,5/4/2020,100897,1524,7101,250435,2970,0,318,193,3429,0.0,13709,231997
35,36,6/4/2020,100665,1380,6220,251521,3141,0,232,154,3022,0.0,13863,232229
36,37,7/4/2020,100421,1212,5499,252502,3293,0,244,121,2600,0.0,13984,232473
37,38,8/4/2020,100240,1044,4775,253394,3474,0,181,95,2183,0.0,14079,232654
38,39,9/4/2020,100087,913,4173,254137,3617,0,153,107,1879,0.0,14186,232807
39,40,10/4/2020,99945,777,3654,254804,3747,0,142,76,1557,0.0,14262,232949
40,41,11/4/2020,99868,632,3154,255414,3859,0,77,52,1281,0.0,14314,233026
41,42,12/4/2020,99775,546,2743,255910,3953,0,93,45,1048,0.0,14359,233119
42,43,13/4/2020,99689,483,2297,256425,4033,0,86,44,857,0.0,14403,233205
43,44,14/4/2020,99616,418,1954,256847,4092,0,73,54,730,0.0,14457,233278
44,45,15/4/2020,99564,348,1672,257198,4145,0,52,38,627,0.0,14495,233330
45,46,16/4/2020,99508,298,1425,257498,4198,0,57,30,517,0.0,14525,233387
46,47,17/4/2020,99454,276,1210,257758,4229,0,54,29,447,0.0,14554,233441
