,#time,date,susceptible,exposed,infectious,recovered,dead,immune,num infections today,num hospitalisations today,hospital bed occupancy,num hospitalisations today (data),cum num hospitalisations today,cum num infections today
0,1,2/3/2020,333373,19703,7437,1779,2,0,7415,5,22,0.0,5,7415
1,2,3/3/2020,323771,25623,10363,2535,2,0,9602,8,29,0.0,13,17017
2,3,4/3/2020,311816,32589,14287,3600,2,0,11955,13,42,0.0,26,28972
3,4,5/3/2020,297867,40205,19139,5081,2,0,13949,11,52,0.0,37,42921
4,5,6/3/2020,282487,47362,25315,7126,4,0,15383,15,62,0.0,52,58304
5,6,7/3/2020,266428,53616,32334,9911,5,0,16061,27,85,0.0,79,74365
6,7,8/3/2020,250125,58312,40168,13682,7,0,16306,42,120,0.0,121,90671
7,8,9/3/2020,233500,61867,48339,18580,8,0,16628,71,185,0.0,192,107299
8,9,10/3/2020,216995,63939,56697,24654,9,0,16510,89,268,0.0,281,123809
9,10,11/3/2020,200417,65098,64384,32380,15,0,16580,143,400,0.0,424,140389
10,11,12/3/2020,184435,65226,71134,41482,17,0,15992,145,533,0.0,569,156381
11,12,13/3/2020,171884,61698,76686,52003,23,0,12557,205,716,0.0,774,168938
12,13,14/3/2020,159808,58040,80265,64147,34,0,12081,279,960,0.0,1053,181019
13,14,15/3/2020,148461,53941,82766,77084,42,0,11350,318,1220,0.0,1371,192369
14,15,16/3/2020,137924,49670,83957,90681,62,0,10542,400,1560,0.0,1771,202911
15,16,17/3/2020,131037,43099,83060,105018,80,0,6890,511,1993,0.0,2282,209801
16,17,18/3/2020,124404,37594,80560,119625,111,0,6636,586,2462,0.0,2868,216437
17,18,19/3/2020,118332,32932,76633,134240,157,0,6075,625,2924,0.0,3493,222512
18,19,20/3/2020,112755,28882,72217,148212,228,0,5578,679,3395,0.0,4172,228090
19,20,21/3/2020,110289,23110,66771,161827,297,0,2466,815,3950,0.0,4987,230556
20,21,22/3/2020,107940,18512,60905,174560,377,0,2349,880,4491,0.0,5867,232905
21,22,23/3/2020,105721,14794,55149,186161,469,0,2221,825,4963,0.0,6692,235126
22,23,24/3/2020,104992,10689,49224,196820,569,0,730,856,5427,0.0,7548,235856
23,24,25/3/2020,104351,7709,43182,206332,720,0,642,783,5712,0.0,8331,236498
24,25,26/3/2020,103694,5575,37394,214770,861,0,657,792,5945,0.0,9123,237155
25,26,27/3/2020,103066,4151,31902,222157,1018,0,628,746,6088,0.0,9869,237783
26,27,28/3/2020,102429,3337,26811,228494,1223,0,637,681,6095,0.0,10550,238420
27,28,29/3/2020,101805,2883,22516,233671,1419,0,624,639,6041,0.0,11189,239044
