,Age,Cankaya
0,0,2973
1,1,2990
2,2,3006
3,3,3023
4,4,3039
5,5,3757
6,6,4475
7,7,5193
8,8,5911
9,9,6348
10,10,6505
11,11,6661
12,12,6818
13,13,6974
14,14,7131
15,15,7617
16,16,8432
17,17,9247
18,18,10062
19,19,10877
20,20,11692
21,21,12507
22,22,12906
23,23,13304
24,24,13703
25,25,14102
26,26,14501
27,27,14899
28,28,15298
29,29,15697
30,30,15935
31,31,16012
32,32,16089
33,33,16167
34,34,16244
35,35,16321
36,36,16399
37,37,16476
38,38,16553
39,39,16630
40,40,16583
41,41,16412
42,42,16240
43,43,16069
44,44,15897
45,45,15726
46,46,15554
47,47,15382
48,48,15211
49,49,15039
50,50,14808
51,51,14518
52,52,14228
53,53,13938
54,54,13648
55,55,13358
56,56,13068
57,57,12778
58,58,12488
59,59,12198
60,60,11829
61,61,11381
62,62,10933
63,63,10485
64,64,10037
65,65,9589
66,66,9141
67,67,8693
68,68,8245
69,69,7797
70,70,7458
71,71,7227
72,72,6997
73,73,6766
74,74,6536
75,75,6305
76,76,6075
77,77,5844
78,78,5614
79,79,5383
80,80,5153
81,81,4922
82,82,4692
83,83,4461
84,84,4230
85,85,4000
86,86,3769
87,87,3539
88,88,3308
89,89,3078
90,90,2847
